epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,3049.19,0.89086,1.59774,0.68452,1.13615,0.92192,0.88008,0.94934,0.71962,0.92302,0.88344,0.95029,0.66851,0.88364,1.44382,0.5403,1.14784,0.007327,0.007327,0.007327
83,3082.44,0.90028,1.60217,0.68507,1.14006,0.93034,0.89574,0.95599,0.7286,0.92924,0.89228,0.954,0.67853,0.87702,1.44753,0.53661,1.14243,0.007294,0.007294,0.007294
84,3115.3,0.88547,1.57929,0.67595,1.1307,0.9198,0.89747,0.95558,0.72875,0.92473,0.89273,0.95375,0.6778,0.87398,1.43414,0.54079,1.13532,0.007261,0.007261,0.007261
85,3147.72,0.88621,1.58333,0.67253,1.12914,0.93347,0.88412,0.95602,0.72522,0.93562,0.88415,0.95844,0.67282,0.88291,1.45477,0.53696,1.14582,0.007228,0.007228,0.007228
86,3180.11,0.88169,1.57042,0.66863,1.13065,0.93927,0.89024,0.95582,0.73616,0.94141,0.89228,0.9567,0.68023,0.85494,1.42494,0.52748,1.12555,0.007195,0.007195,0.007195
87,3212.93,0.87275,1.54241,0.65821,1.12841,0.92042,0.9065,0.95887,0.73426,0.92547,0.90701,0.95962,0.67836,0.86136,1.41833,0.51885,1.13388,0.007162,0.007162,0.007162
88,3245.6,0.86843,1.56245,0.66026,1.12078,0.92509,0.89685,0.95743,0.73369,0.92666,0.89837,0.95556,0.67606,0.85465,1.42598,0.51752,1.12627,0.007129,0.007129,0.007129
89,3278.37,0.87253,1.55311,0.66309,1.12043,0.92204,0.91108,0.96113,0.73822,0.92241,0.91213,0.96141,0.68558,0.85059,1.41277,0.51094,1.11941,0.007096,0.007096,0.007096
90,3310.95,0.87999,1.54593,0.65463,1.12251,0.94031,0.88974,0.95745,0.74119,0.94161,0.89177,0.9587,0.68433,0.84136,1.40728,0.50588,1.11309,0.007063,0.007063,0.007063
91,3343.77,0.87297,1.55926,0.66182,1.12263,0.92875,0.90082,0.95825,0.74335,0.9299,0.90319,0.95826,0.68682,0.83918,1.39664,0.50196,1.11192,0.00703,0.00703,0.00703
92,3376.59,0.87133,1.55131,0.65571,1.12253,0.93205,0.8991,0.95985,0.74081,0.93408,0.90142,0.96215,0.68913,0.83943,1.39329,0.5056,1.11131,0.006997,0.006997,0.006997
93,3410.01,0.86019,1.55268,0.64506,1.1113,0.93366,0.9065,0.9636,0.74354,0.93575,0.90854,0.96448,0.68972,0.83552,1.40042,0.50503,1.10643,0.006964,0.006964,0.006964
94,3442.57,0.87286,1.55128,0.64522,1.12029,0.94557,0.9065,0.96378,0.74604,0.94504,0.906,0.96355,0.69004,0.83939,1.39087,0.49747,1.10462,0.006931,0.006931,0.006931
95,3474.7,0.85721,1.53174,0.65098,1.10586,0.94495,0.90447,0.96214,0.74749,0.9455,0.90549,0.96066,0.69046,0.82835,1.38258,0.49717,1.0993,0.006898,0.006898,0.006898
96,3507.41,0.86646,1.53029,0.6425,1.11147,0.95209,0.89075,0.96525,0.74689,0.95547,0.89177,0.96438,0.69087,0.83396,1.38541,0.49272,1.10716,0.006865,0.006865,0.006865
97,3562.57,0.85223,1.53301,0.63093,1.11188,0.94098,0.90193,0.9642,0.74719,0.94082,0.90472,0.96395,0.69483,0.83201,1.36608,0.49691,1.10626,0.006832,0.006832,0.006832
98,3617.86,0.85039,1.5279,0.63022,1.11082,0.93512,0.90816,0.96275,0.74497,0.93716,0.90935,0.96249,0.69077,0.83213,1.37599,0.496,1.1102,0.006799,0.006799,0.006799
99,3673.34,0.84935,1.51896,0.62592,1.10683,0.93391,0.9065,0.96109,0.74699,0.93374,0.9065,0.96137,0.6926,0.83249,1.37706,0.49277,1.10615,0.006766,0.006766,0.006766
100,3728.53,0.85164,1.52923,0.63237,1.10503,0.95456,0.89837,0.96421,0.75087,0.95094,0.90346,0.96395,0.69817,0.81712,1.36922,0.48398,1.09614,0.006733,0.006733,0.006733
