epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2390.98,0.87964,1.54888,0.67026,1.12257,0.92224,0.90391,0.95883,0.73923,0.9288,0.8999,0.95937,0.68984,0.85566,1.39055,0.52096,1.12116,0.007558,0.007558,0.007558
76,2422.12,0.86629,1.52668,0.65918,1.11272,0.9455,0.88161,0.96086,0.73976,0.94659,0.88262,0.96088,0.68702,0.85016,1.39641,0.5118,1.11487,0.007525,0.007525,0.007525
77,2453.57,0.87089,1.53536,0.66087,1.11598,0.94786,0.88364,0.95776,0.73789,0.9495,0.88516,0.95684,0.68439,0.84932,1.39397,0.52188,1.12121,0.007492,0.007492,0.007492
78,2485.02,0.86326,1.5383,0.6487,1.11345,0.94675,0.88669,0.96117,0.74831,0.95001,0.88974,0.96392,0.69893,0.83556,1.37583,0.50193,1.11579,0.007459,0.007459,0.007459
79,2516.57,0.86129,1.54447,0.65188,1.10878,0.9286,0.912,0.96097,0.74764,0.9308,0.91592,0.96185,0.69152,0.83679,1.39113,0.50463,1.11421,0.007426,0.007426,0.007426
80,2548.03,0.84505,1.5148,0.63892,1.10901,0.93755,0.90295,0.96282,0.74305,0.94287,0.90565,0.96701,0.69603,0.83595,1.37309,0.50872,1.11663,0.007393,0.007393,0.007393
81,2579.21,0.84825,1.50651,0.63707,1.10524,0.94658,0.89685,0.96612,0.74566,0.94518,0.89355,0.96407,0.69123,0.83634,1.39604,0.50014,1.11252,0.00736,0.00736,0.00736
82,2610.72,0.85012,1.51932,0.63797,1.10783,0.93782,0.8999,0.95997,0.74322,0.93544,0.90553,0.96233,0.69121,0.83733,1.38588,0.50502,1.11026,0.007327,0.007327,0.007327
83,2642.56,0.85265,1.52632,0.63928,1.1098,0.94614,0.91043,0.96829,0.75613,0.94486,0.91419,0.9692,0.69879,0.82323,1.35559,0.48687,1.10006,0.007294,0.007294,0.007294
84,2673.84,0.83521,1.50897,0.63165,1.09997,0.95482,0.89482,0.96589,0.75511,0.95735,0.89583,0.96458,0.69885,0.82065,1.36818,0.4923,1.09657,0.007261,0.007261,0.007261
85,2705.22,0.84374,1.51051,0.63365,1.1058,0.95312,0.89876,0.96769,0.75233,0.95516,0.90142,0.96801,0.69449,0.82539,1.37401,0.48366,1.09987,0.007228,0.007228,0.007228
86,2736.36,0.84448,1.50002,0.62482,1.10355,0.93875,0.91209,0.96813,0.75986,0.94391,0.91504,0.97093,0.70445,0.80926,1.35614,0.48098,1.086,0.007195,0.007195,0.007195
87,2767.37,0.83492,1.47512,0.62133,1.10074,0.9372,0.91004,0.96831,0.7546,0.94034,0.91309,0.96927,0.69894,0.82133,1.36295,0.4722,1.09449,0.007162,0.007162,0.007162
88,2798.79,0.82991,1.5011,0.61759,1.09242,0.947,0.91311,0.96637,0.75674,0.95098,0.9126,0.96673,0.69736,0.81538,1.35421,0.47704,1.09078,0.007129,0.007129,0.007129
