epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,4934.39,0.79802,1.4444,0.58701,1.09192,0.94704,0.89736,0.96106,0.76452,0.95036,0.90041,0.9632,0.70425,0.79345,1.34406,0.46274,1.09224,0.0012674,0.0012674,0.0012674
113,4977.3,0.78859,1.43523,0.57568,1.08269,0.94521,0.9029,0.96294,0.76496,0.94313,0.90498,0.96225,0.70508,0.80367,1.34569,0.46223,1.09499,0.0012608,0.0012608,0.0012608
114,5019.55,0.77697,1.43822,0.57162,1.07627,0.93919,0.90701,0.96368,0.76595,0.94098,0.90728,0.96334,0.70883,0.79128,1.346,0.45657,1.08882,0.0012542,0.0012542,0.0012542
115,5061.71,0.7775,1.4243,0.56609,1.07959,0.93067,0.91401,0.96322,0.76901,0.93289,0.91832,0.96253,0.70856,0.7819,1.33835,0.45656,1.08135,0.0012476,0.0012476,0.0012476
116,5105.61,0.78054,1.42094,0.56519,1.07684,0.93166,0.90739,0.95904,0.76716,0.9331,0.90955,0.95917,0.70697,0.78133,1.3427,0.46433,1.07945,0.001241,0.001241,0.001241
117,5148.86,0.79017,1.44246,0.57472,1.08546,0.94412,0.90147,0.96018,0.76554,0.94465,0.90198,0.95945,0.7059,0.78002,1.33736,0.4686,1.0774,0.0012344,0.0012344,0.0012344
118,5191.66,0.78093,1.42202,0.56833,1.07973,0.9333,0.91667,0.96161,0.77115,0.93252,0.91565,0.95989,0.7108,0.77099,1.32763,0.45555,1.07381,0.0012278,0.0012278,0.0012278
119,5233.84,0.77208,1.41813,0.55976,1.07596,0.93968,0.91031,0.96311,0.77601,0.94548,0.90701,0.96242,0.71374,0.76202,1.31699,0.45503,1.06944,0.0012212,0.0012212,0.0012212
120,5275.8,0.76039,1.40086,0.55512,1.0665,0.94731,0.89888,0.96212,0.77611,0.95006,0.90295,0.96341,0.71319,0.75944,1.32331,0.45287,1.06789,0.0012146,0.0012146,0.0012146
121,5319.19,0.7584,1.40662,0.54327,1.06481,0.95748,0.89252,0.96457,0.78195,0.96318,0.89068,0.9642,0.71648,0.75554,1.3133,0.44449,1.06352,0.001208,0.001208,0.001208
122,5364.16,0.76666,1.41305,0.55983,1.07234,0.94656,0.90346,0.96544,0.78223,0.95042,0.90588,0.96521,0.71836,0.75683,1.31425,0.43905,1.06379,0.0012014,0.0012014,0.0012014
123,5406.6,0.76155,1.40626,0.55284,1.06729,0.95532,0.90447,0.9649,0.78087,0.95661,0.90749,0.96525,0.71641,0.75863,1.3119,0.44133,1.06353,0.0011948,0.0011948,0.0011948
124,5449.72,0.76082,1.39818,0.54811,1.06884,0.94277,0.91565,0.96683,0.78181,0.94892,0.9157,0.96676,0.71951,0.7496,1.30221,0.43433,1.06135,0.0011882,0.0011882,0.0011882
125,5493.05,0.7715,1.4062,0.55688,1.07223,0.95944,0.90143,0.96542,0.78073,0.96007,0.90403,0.9649,0.71891,0.75764,1.30472,0.43782,1.07071,0.0011816,0.0011816,0.0011816
126,5536.3,0.76637,1.39939,0.55307,1.06745,0.95318,0.91057,0.96456,0.77863,0.95583,0.91311,0.96522,0.71831,0.75688,1.29583,0.44019,1.06904,0.001175,0.001175,0.001175
127,5579.79,0.75346,1.38059,0.5403,1.05913,0.95109,0.91108,0.96568,0.78194,0.95314,0.91413,0.96629,0.71959,0.75434,1.30075,0.43123,1.06619,0.0011684,0.0011684,0.0011684
