epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,4340.34,0.721,1.30924,0.50605,1.04,0.95585,0.93508,0.97566,0.81102,0.95927,0.93346,0.97469,0.74919,0.68435,1.19309,0.39635,1.02301,0.006766,0.006766,0.006766
100,4382.46,0.7222,1.29897,0.5074,1.03984,0.96052,0.93945,0.97463,0.80717,0.96156,0.94046,0.97317,0.74449,0.68916,1.18991,0.39574,1.02719,0.006733,0.006733,0.006733
101,4424.97,0.71311,1.28566,0.49443,1.03798,0.9608,0.93343,0.97277,0.80482,0.96438,0.93544,0.97422,0.74671,0.69646,1.18684,0.39713,1.03245,0.0067,0.0067,0.0067
102,4467.21,0.71408,1.28571,0.49451,1.03735,0.97008,0.93343,0.9738,0.80822,0.97061,0.93394,0.97295,0.74866,0.67974,1.18625,0.39277,1.01432,0.006667,0.006667,0.006667
103,4509.75,0.70869,1.29004,0.50363,1.03472,0.96154,0.94614,0.97737,0.81748,0.96485,0.94839,0.97815,0.75257,0.67528,1.17342,0.38562,1.01551,0.006634,0.006634,0.006634
104,4552.32,0.70627,1.29081,0.49571,1.03472,0.95625,0.94614,0.97921,0.8144,0.95787,0.94724,0.97706,0.7529,0.67459,1.17274,0.38577,1.01821,0.006601,0.006601,0.006601
105,4593.9,0.7065,1.27137,0.48932,1.03056,0.96411,0.94192,0.97419,0.80987,0.96573,0.94157,0.97589,0.74999,0.66997,1.16647,0.39594,1.01378,0.006568,0.006568,0.006568
106,4636.32,0.70339,1.2711,0.49456,1.03466,0.95308,0.94967,0.97479,0.81292,0.95496,0.94815,0.97529,0.75182,0.65824,1.15912,0.38724,1.00419,0.006535,0.006535,0.006535
107,4678.66,0.6982,1.26983,0.48201,1.03127,0.95969,0.94361,0.974,0.81643,0.96019,0.94362,0.97562,0.75032,0.65662,1.16546,0.38382,1.00345,0.006502,0.006502,0.006502
108,4738.32,0.69205,1.27591,0.48325,1.02698,0.9687,0.94004,0.97721,0.81783,0.97027,0.94157,0.97801,0.7525,0.66025,1.16575,0.37779,1.00959,0.006469,0.006469,0.006469
109,4799.06,0.69719,1.26529,0.48333,1.02235,0.97205,0.93675,0.98122,0.82115,0.97363,0.93817,0.9793,0.75734,0.6566,1.16069,0.37103,1.00611,0.006436,0.006436,0.006436
110,4861.4,0.69764,1.26967,0.48441,1.02394,0.96757,0.9314,0.9753,0.81593,0.96863,0.93242,0.97508,0.7538,0.65158,1.15857,0.37813,0.99886,0.006403,0.006403,0.006403
111,4921.95,0.68989,1.26348,0.47668,1.02378,0.97381,0.94453,0.97552,0.81866,0.97632,0.94512,0.97659,0.7552,0.65693,1.15488,0.3724,1.00516,0.00637,0.00637,0.00637
112,4982.04,0.6906,1.24281,0.4782,1.02603,0.97514,0.93902,0.97764,0.82074,0.97953,0.93801,0.97777,0.75749,0.64877,1.14695,0.36575,1.00038,0.006337,0.006337,0.006337
113,5037.04,0.67968,1.24999,0.46759,1.01955,0.96869,0.94207,0.97552,0.82263,0.96991,0.94309,0.97568,0.75685,0.63621,1.1412,0.36459,0.99566,0.006304,0.006304,0.006304
114,5078.92,0.68082,1.26139,0.47546,1.02023,0.963,0.94258,0.97768,0.823,0.97011,0.94012,0.97777,0.75865,0.63884,1.14468,0.36722,0.98912,0.006271,0.006271,0.006271
115,5120.97,0.67057,1.22525,0.46537,1.01525,0.97277,0.94157,0.97937,0.82408,0.9758,0.94236,0.97913,0.76233,0.64311,1.13565,0.3646,0.9967,0.006238,0.006238,0.006238
116,5163.38,0.67187,1.22652,0.46454,1.01425,0.97071,0.9375,0.97775,0.82869,0.97387,0.94055,0.97943,0.76641,0.63074,1.12921,0.36168,0.9877,0.006205,0.006205,0.006205
117,5205.33,0.67596,1.23272,0.46446,1.01633,0.96657,0.94035,0.97807,0.83001,0.96967,0.94258,0.97972,0.76822,0.62538,1.1271,0.36206,0.98639,0.006172,0.006172,0.006172
118,5247.38,0.6717,1.2291,0.46452,1.01518,0.96356,0.94058,0.97726,0.82812,0.96321,0.94461,0.97791,0.76388,0.63683,1.1268,0.36561,0.99129,0.006139,0.006139,0.006139
119,5289.6,0.67055,1.21533,0.45969,1.01499,0.97206,0.93682,0.97804,0.828,0.97311,0.93783,0.97862,0.76604,0.62768,1.12298,0.36056,0.98472,0.006106,0.006106,0.006106
120,5332.11,0.65976,1.21043,0.45917,1.00697,0.97199,0.93468,0.9797,0.83032,0.97506,0.93357,0.97994,0.76887,0.61944,1.11503,0.35596,0.98397,0.006073,0.006073,0.006073
121,5374.42,0.65787,1.21038,0.45155,1.00661,0.96977,0.94559,0.97845,0.83293,0.97082,0.94661,0.97963,0.76973,0.61958,1.11387,0.34862,0.98256,0.00604,0.00604,0.00604
122,5416.52,0.6622,1.21568,0.45606,1.01207,0.97061,0.94817,0.97893,0.83259,0.97185,0.9497,0.97945,0.76957,0.61827,1.10563,0.34887,0.98145,0.006007,0.006007,0.006007
123,5458.72,0.65616,1.20847,0.45284,1.00754,0.97602,0.95119,0.9792,0.83558,0.97653,0.95153,0.9793,0.77225,0.61929,1.10217,0.34717,0.97858,0.005974,0.005974,0.005974
124,5501.17,0.6614,1.20931,0.45533,1.01117,0.97754,0.95101,0.97976,0.8348,0.97822,0.95071,0.97996,0.77171,0.61809,1.10096,0.34789,0.97762,0.005941,0.005941,0.005941
